title,author,journal,date,link,new_article,new_citation,related,subject
Nonlinear Transformations in Telecom Devices for Optical Computing,"E Manuylovich, D Stoliarov, D Saad, SK Turitsyn",… Lasers and Electro-Optics Europe & …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110557/,,,,Optical Computing ;Photonic Computing 
Phase Symmetry Breaking for All-Optical Computing with Microresonators,"A Pal, A Ghosh, S Zhang, L Hill, T Bi, P Del'Haye",2025 Conference on Lasers and …,2025-08-21 05:25:27-2025,https://ieeexplore.ieee.org/abstract/document/11110674/,Pascal Del'Haye ,,,Optical Computing 
Bypassing the von Neumann Bottleneck via Direct 300-GHz RF Conversion of Optical Computation Results,"J Kokubu, K Sato, A Yomoda, S Kawanishi, R Sugano…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111524/,,,,Optical Computing 
Compact All-Optical Differentiator of Multi-Orders Enabled by a Single-Layer Metasurface,"N Liu, Z Lin, Z Xing, Y Hu, Y Liao, X Zhang, C Zhang",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111146/,,,,Optical Computing 
Performance Trends of Optical and Digital Neural Networks,"S Saeed, M Müftüoğlu, GR Cheeran, T Bocklitz…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110924/,,,,Optical Computing 
Lithium Niobate Metasurface for GHz and Efficient Electro-Optical Modulation in the Linear and Nonlinear Regime,"A Di Francescantonio, A Sabatti, H Weigand, E Bailly…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110678/,,,,Optical Computing 
Photonic Neural Networks with Random Projection Kernel Optimization,"B Çarpınlıoğlu, U Teğin",2025 Conference on Lasers and Electro-Optics Europe …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110168/,,,,Optical Computing 
A Novel MDM-Based Optical Networks-on-Chip With Reliability Analysis,"Y Su, Y Xie, W Liu, Z Chen, X Jiang, L Li, Y Ye, F Xu",IEEE Transactions on Computer …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11124572/,,,,Optical Computing 
Spectral Translation of Optical Frequency Combs with Optical Parametric Oscillation,"DA Long, JR Stone, GC Mathews, C Mathurin, MJ Cich…",… Lasers and Electro-Optics …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111473/,,,,optical frequency combs
Complete Optical Field Reconstruction of Optical Frequency Combs Generated by Gain-Switching Using the Gerchberg-Saxton Algorithm,"A Rosado, I Esquivias, M Wei…",… Lasers and Electro-Optics …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109187/,,,,optical frequency combs
Electrode Optimization for on Chip Resonant Electro-Optic Frequency Combs,"A Volpini, S Häusler, G Finco, G Li, C Caër, JS Holzer…",… Lasers and Electro-Optics …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111274/,,,,optical frequency combs
20-GHz Structured Optical Frequency Combs via Temporal and Spatial Modulation,"Z Xiao, P Wang, C Li, G Xu",… on Lasers and Electro-Optics Europe & European …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110131/,,,,optical frequency combs
Optical Frequency Comb Generation in Quadratic Resonator with Spectral Filtering,"M Shi, N Englebert, F Leo, D Skryabin, AM Perego",… on Lasers and Electro-Optics …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109365/,,,,optical frequency combs
Electro-Optic Frequency Combs for High Flux X-Ray Generation via High-Intensity Laser-Particle Interactions at CERN,"E Roiková, A Latina, V Muşat, V Goryashko…",… Lasers and Electro-Optics …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109145/,,,,optical frequency combs
Electro-Optic Frequency Comb Spectroscopy Using Tailored Reconfigurable Modulation,"J Navarro-Alventosa, V Durán",… on Lasers and Electro-Optics Europe & European …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110517/,,,,optical frequency combs
Dual-Optical Frequency Comb Generation for Gas Spectroscopy Using a Single Gain-Switched Externally-Injected Semiconductor Laser,"L Monroy, A Rosado, C Quevedo-Galán…",… Lasers and Electro-Optics …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110203/,,,,optical frequency combs
Widely Tunable Optical Frequency Comb Generator on a Generic InP Platform,"YD Gupta, SC Giraldo, P Runge, M Schell",… Conference on Lasers and Electro-Optics …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111176/,,,,optical frequency combs
Development of a Portable Optical Frequency Comb and Application to Open-Path Atmospheric Measurement,"R Mitsumoto, K Yoshii, SI Yamamoto",… Lasers and Electro-Optics Europe & European …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110634/,,,,optical frequency combs
"High-power, Thermally-accessible Dissipative Kerr Soliton Generation","Y Zhao, A Jacobsen, Y Liu, C Ye, Y Zheng…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109405/,,,,disspiative kerr soliton
Addressing Thermal Instability in Accessing Dissipative Kerr Solitons in AlGaAs-on-Insulator Microresonators,"Y Liu, Y Zhou, Y Zhao, C Ye, X Lu, Y Zheng…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111553/,,,,disspiative kerr soliton
Coherent Dual Soliton Combs with Mechanically Actuated Kerr Microcombs,"T Murakami, K Wada, S Kogure, R Takabayashi…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111124/,,,,disspiative kerr soliton
Octave-Spanning Soliton Microcomb with Over 50% Conversion Efficiency Enabled by Strong Mode Coupling,"A Jacobsen, Y Liu, T Wildi, Y Zhao, C Ye, Y Zheng…",2025 Conference on Lasers …,2025-08-21 05:25:27-2025,https://ieeexplore.ieee.org/abstract/document/11110909/,Tobias Herr ,,,disspiative kerr soliton
Localized Patterns and Solitons in Cylindrical Microresonators with Anomalous GVD,"CM Arabí, PF de Córdoba, JA Conejero, Y Kartashov…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111072/,,,,disspiative kerr soliton
